SY_LSOA,LSOA11CD_code,"Agriculture, forestry & fishing","Mining, quarrying & utilities",Manufacturing,Construction,Motor trades,Wholesale,Retail,Transport & storage (inc postal),Accommodation & food services,Information & communication,Financial & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services"
Doncaster 035D,E01007540,0,0,0,15,0,30,0,0,20,0,0,0,0,0,0,0,0,20
Doncaster 035E,E01007541,0,0,0,5,0,0,10,0,10,0,0,0,0,10,0,200,0,0
Doncaster 036A,E01007591,0,0,0,10,0,0,20,40,0,0,0,0,0,10,0,0,10,0
Doncaster 036B,E01007594,20,0,10,30,0,0,30,10,150,0,0,10,15,0,0,150,0,15
Doncaster 036C,E01007596,0,100,10,40,0,0,30,0,50,0,0,0,5,0,0,40,10,0
Doncaster 036D,E01007598,0,0,0,10,10,0,0,0,0,0,0,0,5,0,10,0,0,20
Doncaster 037A,E01007590,0,0,0,10,0,0,75,0,0,0,0,0,0,20,10,10,35,10
Doncaster 037B,E01007592,0,0,0,0,0,10,50,20,20,0,0,0,5,10,0,40,10,0
Doncaster 037C,E01007593,0,75,100,45,10,75,10,15,10,5,0,0,5,10,10,50,20,10
Doncaster 037D,E01007595,0,0,0,10,5,0,0,0,10,0,0,0,0,5,0,50,35,30
Doncaster 037E,E01007597,0,0,0,10,0,0,5,5,5,0,0,0,0,0,0,0,0,0
Doncaster 038A,E01007608,0,10,10,50,5,40,25,10,30,10,5,30,45,50,20,400,30,15
Doncaster 038B,E01007609,0,0,125,35,125,0,75,10,100,10,15,25,75,40,0,15,20,200
Doncaster 038C,E01007610,10,0,75,40,5,50,45,10,175,5,0,10,45,30,0,40,75,50
Doncaster 039A,E01007611,0,0,0,10,0,100,15,1500,20,10,0,10,15,75,0,20,10,0
Doncaster 039B,E01007612,0,0,0,25,10,0,0,10,30,0,0,0,10,5,0,20,20,5
Doncaster 039C,E01007614,0,10,0,45,0,10,75,300,35,5,10,0,150,10,0,30,600,0
Doncaster 039D,E01007615,0,0,10,25,0,10,75,0,40,0,0,0,50,35,0,20,5,50
Doncaster 039E,E01007616,0,0,0,10,10,25,0,0,0,0,0,30,10,10,0,50,0,0
