SY_LSOA,LSOA11CD_code,"Agriculture, forestry & fishing","Mining, quarrying & utilities",Manufacturing,Construction,Motor trades,Wholesale,Retail,Transport & storage (inc postal),Accommodation & food services,Information & communication,Financial & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services"
Sheffield 037C,E01007971,0,0,0,10,0,0,0,0,40,0,0,0,10,0,0,250,100,0
Sheffield 037D,E01007973,0,0,0,10,0,0,10,10,10,0,0,0,5,5,0,0,0,15
Sheffield 038A,E01007858,0,0,0,15,0,0,10,0,35,5,30,0,15,10,0,20,600,5
Sheffield 038B,E01007861,0,0,0,50,0,0,0,0,10,15,0,40,15,5,0,50,10,20
Sheffield 038C,E01007862,0,0,0,0,0,0,0,0,100,10,0,10,100,35,0,300,400,0
Sheffield 038D,E01007865,0,0,10,15,0,20,45,0,75,10,0,25,25,150,0,100,20,10
Sheffield 039A,E01008011,0,0,0,30,0,10,35,5,0,10,0,0,15,25,0,10,50,0
Sheffield 039B,E01008012,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
Sheffield 039C,E01008013,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,100,0,0
Sheffield 039D,E01008015,0,0,450,0,10,200,100,0,10,300,0,0,15,25,0,0,0,10
Sheffield 039E,E01008017,0,0,0,0,0,0,10,0,45,0,0,0,0,0,0,200,0,0
Sheffield 039F,E01008018,0,0,0,0,0,0,20,0,10,0,0,0,5,0,0,10,30,0
Sheffield 040A,E01008105,0,0,5,0,0,10,75,0,100,35,5,20,50,0,0,100,175,35
Sheffield 040C,E01008107,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,75,0
Sheffield 040D,E01008111,0,0,0,35,10,0,20,0,5,50,0,15,125,45,0,40,125,5
Sheffield 040E,E01033271,0,0,0,0,0,5,25,0,150,250,40,10,75,400,300,250,20,50
Sheffield 040F,E01033272,0,0,0,50,0,0,250,0,0,0,20,15,35,100,0,600,50,0
Sheffield 041A,E01007955,0,0,0,15,0,0,10,0,10,5,0,10,20,10,0,100,0,10
Sheffield 041B,E01007956,0,0,5,15,0,5,10,0,100,5,0,10,30,5,0,15,30,10
Sheffield 041C,E01007957,0,0,0,10,0,0,0,0,10,5,0,0,5,10,0,0,5,0
Sheffield 041D,E01007958,0,0,0,15,10,0,30,0,25,5,0,0,1000,5,0,0,100,35
Sheffield 041E,E01007959,0,0,0,15,0,5,0,10,0,0,20,10,20,5,0,0,5,5
Sheffield 042A,E01008108,0,0,25,50,30,75,450,10,600,20,10,30,125,600,0,50,50,350
Sheffield 042B,E01008109,0,0,75,40,20,25,175,5,75,0,0,0,35,500,50,5,125,40
Sheffield 042D,E01008112,0,0,175,75,15,75,100,5,40,0,0,15,15,35,0,0,5,125
Sheffield 042E,E01008113,0,0,0,0,10,0,15,0,30,5,0,0,5,10,0,0,0,0
Sheffield 042F,E01033273,0,0,10,40,35,75,100,0,150,50,0,15,100,30,0,40,175,150
Sheffield 042G,E01033274,0,0,75,50,40,100,400,75,400,225,10,75,600,125,2500,200,500,150
Sheffield 043A,E01008095,0,10,10,5,0,0,0,0,10,0,0,10,0,450,30,1000,50,30
Sheffield 043B,E01008096,0,0,225,50,0,10,10,600,10,15,0,10,35,10,0,0,400,15
Sheffield 043C,E01008097,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,20
Sheffield 043D,E01008101,0,0,0,5,0,0,5,0,0,10,0,0,0,0,0,0,10,0
Sheffield 044A,E01007965,0,0,0,5,0,0,40,0,10,0,0,0,0,10,0,100,100,0
Sheffield 044B,E01007969,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,150,10
Sheffield 044C,E01007972,0,0,0,10,0,0,20,0,0,0,0,0,5,15,50,0,0,0
Sheffield 044D,E01007974,0,0,0,100,0,10,10,10,0,10,0,0,10,0,0,0,0,0
Sheffield 045A,E01007963,0,0,5,15,10,0,20,10,10,0,0,0,0,10,0,100,20,10
Sheffield 045B,E01007967,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,20
Sheffield 045C,E01007999,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Sheffield 045D,E01008008,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0
Sheffield 045E,E01008009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,40,0
Sheffield 046A,E01008043,0,0,0,20,0,0,40,0,0,5,0,0,40,0,0,0,10,10
Sheffield 046B,E01008044,0,0,0,75,0,0,10,0,10,20,0,5,150,10,0,0,0,20
Sheffield 046C,E01008047,0,0,50,25,10,20,75,0,175,0,10,0,30,15,0,0,10,35
Sheffield 046D,E01008048,0,0,0,50,0,0,45,0,35,5,0,0,35,10,0,100,600,20
Sheffield 046E,E01008050,0,0,0,30,0,5,45,0,30,20,0,35,5,5,0,0,10,30
Sheffield 047A,E01007931,0,0,20,5,0,0,20,0,0,15,10,0,15,10,0,100,0,0
Sheffield 047B,E01007934,0,10,0,0,10,0,0,0,20,5,0,0,10,40,0,0,0,5
Sheffield 047C,E01007935,0,0,0,0,0,0,10,0,35,10,0,0,20,5,0,0,15,30
Sheffield 047D,E01007936,0,0,0,35,20,5,75,0,125,10,2000,25,45,15,0,100,20,40
Sheffield 047E,E01007937,0,0,0,10,0,10,15,0,40,10,0,5,20,0,0,30,30,0
Sheffield 047F,E01007938,0,0,0,5,0,0,10,0,20,5,0,5,15,0,0,300,0,50
Sheffield 048A,E01008098,0,0,0,0,10,0,100,0,100,0,10,0,0,10,0,0,100,25
Sheffield 048B,E01008100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0
Sheffield 048C,E01008102,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,0,10,25
Sheffield 048D,E01008103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Sheffield 049A,E01007964,0,0,15,10,0,0,50,0,20,0,10,0,0,0,30,0,10,15
Sheffield 049B,E01007966,0,0,10,10,0,0,10,0,0,0,0,0,0,5,0,150,0,0
Sheffield 049C,E01007968,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,50,0,0
Sheffield 049D,E01007970,0,0,10,10,10,0,10,0,10,0,0,0,0,0,0,0,150,0
Sheffield 050A,E01008042,0,0,50,20,10,10,45,0,50,5,0,0,10,25,0,100,50,5
Sheffield 050B,E01008045,0,0,0,30,0,0,30,0,10,0,0,0,10,0,0,0,0,30
Sheffield 050C,E01008046,0,0,10,35,25,30,25,0,5,15,0,10,50,75,0,40,75,30
Sheffield 050D,E01008049,0,0,40,30,30,10,15,0,100,15,15,15,200,25,0,100,300,15
Sheffield 050E,E01008051,0,0,0,5,0,0,0,0,0,10,0,0,20,0,0,40,20,5
Sheffield 050F,E01008052,0,0,0,10,0,5,25,0,5,5,0,10,25,10,0,40,0,10
Sheffield 051A,E01007975,0,0,25,5,5,0,20,10,30,20,0,0,100,10,0,0,20,15
Sheffield 051B,E01007976,0,0,0,0,0,0,10,0,0,0,0,0,0,35,0,0,30,10
Sheffield 051C,E01007977,0,0,0,0,0,5,25,0,10,0,0,0,0,10,0,40,40,10
Sheffield 051D,E01007979,0,0,0,5,0,0,0,0,10,0,0,5,0,0,30,0,100,0
Sheffield 051E,E01008099,0,0,0,0,0,0,40,0,50,0,0,0,5,0,0,10,50,0
Sheffield 052A,E01008000,0,0,0,10,10,0,40,50,15,20,0,0,0,40,0,50,100,5
Sheffield 052B,E01008001,0,0,0,25,10,0,0,0,20,0,0,0,10,0,0,50,100,0
Sheffield 052C,E01008004,0,0,0,5,0,0,0,0,0,0,0,0,5,10,0,0,0,0
Sheffield 052D,E01008005,0,0,10,30,0,0,10,0,5,0,0,0,10,0,0,0,10,0
Sheffield 052E,E01008010,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,30
Sheffield 053A,E01007978,10,0,30,75,40,40,125,0,50,10,0,10,45,50,0,50,20,15
Sheffield 053B,E01007980,0,0,15,10,0,0,15,0,10,5,0,0,10,20,0,100,5,0
Sheffield 053C,E01007981,0,0,30,0,15,50,200,30,75,50,30,10,75,45,10,800,100,30
Sheffield 053D,E01007983,0,0,75,10,20,0,125,100,0,10,0,0,2000,10,0,0,0,100
Sheffield 053E,E01007985,0,0,5,45,0,0,0,0,10,5,0,0,5,0,0,0,100,0
Sheffield 054A,E01007982,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sheffield 054B,E01008002,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,10,0
Sheffield 054C,E01008003,10,0,20,15,0,0,0,0,20,0,0,0,0,5,0,100,20,0
Sheffield 054D,E01008006,0,0,0,25,0,0,40,0,50,0,0,0,15,5,0,0,20,20
Sheffield 055A,E01007927,0,0,10,100,0,5,30,0,50,5,0,5,30,10,0,150,10,10
Sheffield 055B,E01007928,0,0,20,15,0,0,10,0,0,30,50,5,75,5,0,15,20,10
Sheffield 055C,E01007929,0,0,0,50,10,100,20,5,75,5,10,20,75,45,0,40,50,40
Sheffield 055D,E01007930,0,0,0,15,0,0,0,0,20,5,0,0,30,5,0,175,10,30
Sheffield 055E,E01007932,0,0,0,10,0,0,10,0,125,25,0,0,20,35,0,10,5,45
Sheffield 055F,E01007939,0,0,10,10,0,0,20,0,10,5,0,10,30,5,0,150,30,10
Sheffield 056A,E01008028,0,0,0,10,5,0,10,0,5,0,0,0,0,0,0,0,300,0
Sheffield 056B,E01008029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield 056C,E01008032,0,0,10,0,0,0,20,0,30,0,0,0,0,5,0,50,0,0
Sheffield 056D,E01008034,0,0,50,20,10,100,800,0,250,5,150,40,35,175,0,50,20,125
Sheffield 059A,E01007828,0,0,10,15,10,0,0,0,10,10,0,0,45,5,0,0,0,0
Sheffield 059B,E01007829,0,0,0,10,40,0,800,0,100,5,0,0,10,30,0,0,75,50
Sheffield 059C,E01007831,10,0,10,0,10,5,125,0,125,150,20,35,100,150,100,20,50,200
Sheffield 059D,E01007832,0,0,0,15,0,0,10,0,0,5,0,5,5,0,0,0,10,0
Sheffield 059E,E01007986,0,0,0,20,0,10,30,0,50,0,10,0,20,10,0,50,10,15
Sheffield 060A,E01008007,0,0,5,10,0,0,10,0,20,0,0,0,0,0,0,100,40,0
Sheffield 060B,E01008075,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sheffield 060C,E01008076,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0
Sheffield 060D,E01008077,0,0,0,10,0,10,0,5,0,0,0,0,0,0,0,0,0,0
Sheffield 061A,E01008031,0,0,25,10,0,10,15,0,10,0,0,0,15,0,0,100,30,0
Sheffield 061B,E01008033,0,0,40,15,20,0,600,0,200,0,0,0,30,75,150,0,10,35
Sheffield 061C,E01008038,0,0,0,20,0,0,0,0,0,0,0,0,5,25,0,0,10,0
Sheffield 061D,E01008040,0,0,0,25,10,0,10,0,0,0,0,0,25,0,0,10,0,0
Sheffield 062A,E01007835,0,0,5,10,0,0,0,0,0,5,0,0,0,0,0,0,10,0
Sheffield 062B,E01007836,0,0,5,25,0,0,0,0,15,10,0,0,5,5,0,50,20,5
Sheffield 062C,E01007843,0,0,0,10,0,0,20,0,0,0,0,0,0,15,0,0,45,0
Sheffield 062D,E01007846,0,0,0,40,10,0,45,0,10,0,0,10,30,5,0,0,50,15
Sheffield 063A,E01008030,0,30,10,30,15,10,25,0,75,5,0,0,10,10,0,20,100,15
Sheffield 063B,E01008035,0,0,20,10,0,0,0,0,10,0,0,0,0,0,0,100,10,0
Sheffield 063C,E01008036,0,0,0,10,0,0,0,0,0,10,0,0,5,0,0,0,0,0
Sheffield 063D,E01008041,0,40,1000,300,100,350,150,350,0,45,0,15,100,75,0,35,20,50
Sheffield 064A,E01007827,0,0,0,15,0,0,15,20,45,0,0,0,10,5,0,300,0,30
Sheffield 064B,E01007830,0,0,0,5,10,0,25,0,15,0,0,0,10,5,0,50,75,15
Sheffield 064C,E01007833,0,0,0,20,0,0,10,10,0,0,0,0,15,10,0,0,10,10
Sheffield 064D,E01007984,0,0,0,0,0,0,30,0,0,0,0,0,5,10,0,5,0,0
Sheffield 064E,E01008078,0,0,0,20,0,0,30,0,25,0,0,0,15,10,0,30,20,10
Sheffield 064F,E01008079,0,0,0,15,100,10,250,0,50,0,0,10,15,100,10,350,10,200
Sheffield 065A,E01008019,0,10,400,25,30,50,75,150,0,5,0,0,20,25,20,100,100,20
Sheffield 065B,E01008020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Sheffield 065C,E01008022,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,30
Sheffield 065D,E01008027,0,0,0,10,0,0,0,0,5,10,0,0,0,0,0,30,0,0
Sheffield 065E,E01008037,0,0,0,10,0,0,150,0,20,0,0,0,5,40,0,0,10,5
Sheffield 065F,E01008039,0,0,0,5,0,0,0,0,30,0,0,0,5,10,0,175,30,30
Sheffield 066A,E01007824,0,0,0,5,0,0,0,0,0,5,0,0,5,20,0,0,0,10
Sheffield 066B,E01007825,0,0,0,20,0,0,10,0,0,5,0,0,15,0,0,0,100,15
Sheffield 066C,E01007826,0,0,5,10,0,5,15,0,15,10,0,0,75,5,0,10,25,10
Sheffield 066D,E01007834,0,0,10,50,0,25,200,0,20,10,0,5,15,30,0,100,75,15
Sheffield 068A,E01007920,0,0,0,10,5,5,0,0,0,15,0,5,40,40,0,20,40,0
Sheffield 068B,E01007921,0,0,5,10,10,5,50,0,75,10,10,40,20,20,0,50,50,15
Sheffield 068C,E01007923,0,0,0,35,0,0,50,0,45,5,10,10,25,25,0,250,25,5
Sheffield 068D,E01007925,0,0,0,15,0,0,10,0,50,10,0,0,10,5,0,100,35,0
Sheffield 068E,E01007926,0,0,5,40,0,5,25,0,50,5,0,10,45,10,0,0,30,75
Sheffield 068F,E01007933,0,0,0,15,10,0,20,0,45,10,0,5,50,10,0,0,300,20
Sheffield 069A,E01007823,0,0,0,15,0,0,5,0,25,10,0,0,25,5,0,125,50,5
Sheffield 069B,E01007916,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,40,0,0
Sheffield 069C,E01007919,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,10
Sheffield 069D,E01008080,0,0,0,20,0,0,0,0,0,0,0,0,5,10,0,0,10,0
Sheffield 070A,E01008081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Sheffield 070B,E01008082,0,0,10,0,0,0,30,0,100,0,0,0,0,0,30,0,75,20
Sheffield 070C,E01008083,0,0,0,10,0,0,35,0,0,0,0,0,0,0,0,0,40,0
Sheffield 070D,E01008084,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,50,0,0
Sheffield 071A,E01007915,0,0,0,20,0,0,0,0,0,15,0,0,30,10,0,10,0,5
Sheffield 071B,E01007917,0,0,0,15,10,0,50,10,45,5,0,0,5,25,20,50,0,75
Sheffield 071C,E01007918,0,0,0,30,10,0,40,20,0,10,0,0,10,5,0,40,0,45
Sheffield 071D,E01007922,0,0,0,10,0,0,10,0,0,5,0,0,10,0,0,10,0,0
Sheffield 071E,E01007924,0,0,10,15,0,0,0,0,10,5,0,0,15,20,0,0,100,0
Sheffield 072A,E01008021,0,0,10,35,5,10,10,10,50,5,0,0,20,5,40,0,0,0
Sheffield 072B,E01008023,0,20,5,30,0,200,400,0,0,5,0,0,10,0,0,0,10,0
Sheffield 072C,E01008024,0,0,10,20,0,10,0,0,40,0,0,0,0,10,0,10,0,5
Sheffield 072D,E01008025,0,0,10,45,0,0,15,0,20,0,0,10,35,15,0,50,30,5
Sheffield 072E,E01032585,0,10,0,5,0,10,0,10,50,0,0,0,5,0,0,0,0,0
Sheffield 073A,E01033261,0,0,50,50,10,50,50,10,40,0,0,35,200,175,0,250,50,20
Sheffield 073B,E01033262,0,10,75,75,10,25,75,15,200,1500,150,75,700,1500,350,0,125,125
Sheffield 073C,E01033263,0,0,175,5,0,75,200,50,100,75,0,30,125,400,30,50,40,10
Sheffield 073D,E01033264,0,0,75,10,10,10,1000,10,1250,200,250,75,3000,2500,5000,300,800,600
Sheffield 073E,E01033276,0,0,25,20,0,50,20,0,10,0,0,20,10,0,0,20,50,0
Sheffield 074A,E01008114,0,0,100,30,20,40,700,5,175,600,2000,25,10,500,800,40,125,25
Sheffield 074B,E01008115,0,0,0,5,0,0,10,5,20,5,0,30,40,10,0,10,125,25
Sheffield 074C,E01033265,0,0,150,75,0,45,450,0,800,225,600,400,500,1000,150,40,450,100
Sheffield 074D,E01033266,0,0,10,35,10,20,35,0,600,175,0,150,100,20,0,10,40,175
Sheffield 074E,E01033267,0,0,30,20,0,10,75,10,125,0,0,10,0,20,0,0,20,0
Sheffield 075A,E01007878,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,50,0
Sheffield 075B,E01007879,0,0,25,20,15,10,30,0,10,5,0,0,30,20,0,0,50,25
Sheffield 075C,E01007881,0,0,0,10,10,10,20,0,10,0,0,0,10,30,0,50,30,10
Sheffield 075D,E01007882,0,0,0,5,0,0,0,0,5,5,0,0,10,25,0,0,10,100
Sheffield 075E,E01007885,0,450,225,150,10,40,0,400,30,0,800,10,50,50,150,100,10,25
Sheffield 075F,E01007886,0,0,0,0,10,0,0,0,20,0,0,0,0,50,600,150,0,0
Sheffield 075G,E01033268,0,50,600,150,5,75,225,1500,400,1500,1000,25,1000,500,2500,5000,50,300
Sheffield 076A,E01007838,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,10,0
Sheffield 076B,E01007839,0,0,100,10,0,0,75,100,30,0,0,0,10,0,0,20,30,75
Sheffield 076C,E01007841,0,20,50,15,0,0,0,0,0,0,0,0,10,0,0,0,50,0
Sheffield 076D,E01007842,0,0,0,20,0,10,10,10,20,0,0,0,5,0,0,250,40,10
Sheffield 076E,E01033278,0,0,0,0,0,0,15,10,10,0,0,0,5,40,0,100,100,0
Sheffield 076F,E01033279,0,0,0,0,0,0,15,0,15,0,0,0,0,10,0,0,75,10
Rotherham 001A,E01007693,0,0,50,200,10,20,125,50,75,20,30,5,125,100,0,10,75,40
Rotherham 001B,E01007694,0,0,15,10,0,100,300,250,20,0,0,0,20,100,0,30,25,10
Rotherham 001C,E01007695,0,20,100,75,30,15,600,5,200,5,10,0,15,10,0,0,45,5
Rotherham 001D,E01007697,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0
Rotherham 001E,E01007698,0,0,0,20,0,0,5,0,20,10,0,0,10,10,0,0,25,10
Rotherham 002A,E01007816,0,0,0,1000,10,225,10,0,10,100,600,0,15,1750,600,200,100,20
Rotherham 002B,E01007817,0,0,0,5,0,0,10,5,0,0,0,0,0,0,0,0,0,50
Rotherham 002C,E01007819,0,0,0,20,0,0,0,10,10,0,0,0,5,0,0,0,300,0
Rotherham 002D,E01007820,0,150,800,300,35,175,450,1500,250,1500,20,10,200,2500,50,45,10,50
Rotherham 002E,E01007821,0,20,0,15,10,0,10,20,5,10,30,0,30,20,10,400,250,20
Rotherham 002F,E01007822,0,0,0,0,0,10,300,0,50,0,10,0,10,15,0,0,125,10
Rotherham 003A,E01007796,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,50,0,0
Rotherham 003B,E01007797,0,10,0,10,0,0,10,5,10,0,0,0,0,0,0,50,0,0
Rotherham 003C,E01007798,0,0,0,25,0,0,0,5,0,0,0,20,0,0,0,0,10,5
Rotherham 003D,E01007799,0,0,0,20,0,0,0,0,30,0,0,0,0,5,0,100,10,0
Rotherham 003E,E01007800,0,0,800,100,40,175,100,150,45,0,5,25,50,225,10,0,75,50
Rotherham 003F,E01007818,0,0,10,35,5,0,10,10,45,0,10,0,5,0,0,10,5,0
Rotherham 004A,E01007777,0,0,5,20,0,0,10,5,10,0,0,0,0,0,0,40,75,0
Rotherham 004B,E01007793,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotherham 004C,E01007794,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Rotherham 004D,E01007795,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Rotherham 005A,E01007778,0,0,0,20,0,0,0,0,0,0,0,0,10,20,100,10,0,0
Rotherham 005B,E01007779,0,0,0,5,0,0,0,0,40,0,0,0,5,10,0,0,0,10
Rotherham 005C,E01007780,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,10
Rotherham 005D,E01007781,0,0,0,5,0,0,15,0,20,0,0,0,0,25,40,300,0,0
Rotherham 005E,E01007782,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Rotherham 006A,E01007771,0,0,0,10,0,10,10,200,10,0,0,0,10,20,0,100,10,10
Rotherham 006B,E01007772,0,100,75,15,15,20,10,10,15,0,0,0,15,125,0,40,0,10
Rotherham 006C,E01007773,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,10,0
Rotherham 006D,E01007774,0,0,0,5,0,0,25,0,10,0,0,0,0,0,0,0,0,0
Rotherham 007A,E01007696,0,0,0,20,0,0,200,10,100,5,0,20,10,50,0,50,10,100
Rotherham 007B,E01007801,0,0,10,35,5,0,20,0,25,0,0,0,25,5,0,0,15,5
Rotherham 007C,E01007802,0,0,0,10,0,0,10,0,30,0,0,0,15,0,0,0,10,10
Rotherham 007D,E01007803,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Rotherham 007E,E01007808,0,0,0,35,0,10,0,0,0,0,0,0,5,0,0,0,0,0
Rotherham 008A,E01007775,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Rotherham 008B,E01007776,0,0,30,0,0,0,10,0,10,0,0,0,0,10,0,100,40,10
Rotherham 008C,E01007783,0,0,0,0,0,0,45,5,30,5,0,0,5,10,100,0,35,10
Rotherham 008D,E01007784,0,35,500,250,150,75,1500,100,350,10,10,0,45,75,30,30,350,100
Rotherham 009A,E01007728,0,200,800,150,125,200,75,35,35,0,0,25,50,0,10,20,20,50
Rotherham 009B,E01007729,0,0,0,5,0,0,35,0,0,0,0,0,5,15,0,40,100,0
Rotherham 009C,E01007730,0,0,0,75,0,0,0,150,15,0,0,0,0,35,40,0,10,0
Rotherham 009D,E01007731,0,0,0,35,0,0,5,0,45,0,0,0,0,0,0,0,10,5
Rotherham 009E,E01007732,0,0,0,5,0,0,0,0,20,0,0,0,0,10,40,50,0,0
Rotherham 009F,E01007733,0,0,0,10,0,0,0,0,20,0,0,0,0,0,20,0,0,0
Rotherham 010A,E01007719,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,30,10,10
Rotherham 010B,E01007720,0,0,0,45,5,10,50,10,0,0,0,0,5,0,20,150,40,100
Rotherham 010C,E01007721,0,0,0,30,10,10,400,15,35,0,0,10,20,10,10,75,15,30
Rotherham 010D,E01007727,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Rotherham 011A,E01007740,0,0,0,0,0,0,10,10,30,40,0,0,0,5,0,0,75,0
Rotherham 011B,E01007804,0,0,0,15,0,0,20,400,25,0,0,0,0,40,20,0,0,10
Rotherham 011C,E01007805,0,0,0,30,0,0,0,150,20,0,0,0,0,0,20,150,0,30
Rotherham 011D,E01007806,0,0,0,15,0,0,0,5,0,0,0,0,5,0,0,0,0,0
Rotherham 011E,E01007807,0,0,10,15,30,0,20,5,50,10,0,0,0,0,0,0,20,0
Rotherham 012A,E01007681,0,0,10,5,0,0,0,0,0,0,0,0,0,45,0,30,20,0
Rotherham 012B,E01007691,5,0,25,75,10,0,10,20,10,15,0,0,10,10,0,40,30,15
Rotherham 012C,E01007692,0,0,5,15,10,0,0,5,0,5,0,0,5,0,0,0,10,0
Rotherham 012E,E01032926,0,0,10,25,0,0,0,0,30,0,0,0,5,50,0,0,50,10
Rotherham 012F,E01032927,0,0,0,10,0,0,25,0,0,0,0,0,10,10,0,0,0,10
Rotherham 013A,E01007723,0,0,0,10,0,0,20,125,30,0,0,0,10,15,0,0,50,0
Rotherham 013B,E01007735,10,0,0,0,0,0,10,0,5,0,0,0,0,20,0,150,0,10
Rotherham 013C,E01007737,0,100,20,0,0,0,0,0,150,0,0,0,0,10,0,50,0,30
Rotherham 013D,E01007738,0,0,0,0,20,0,30,0,30,0,0,0,0,0,0,0,0,5
Rotherham 013E,E01007739,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Rotherham 014A,E01007736,0,0,700,25,75,300,200,200,45,30,0,0,10,150,75,100,125,50
Rotherham 014B,E01007765,0,0,0,10,0,0,10,0,10,0,0,0,0,15,0,0,0,10
Rotherham 014C,E01007766,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,75,0
Rotherham 014D,E01007768,0,0,0,0,5,0,50,0,20,0,0,0,0,125,0,100,40,10
Rotherham 014E,E01007770,0,0,0,10,0,0,0,10,0,0,0,0,0,10,30,200,10,10
Rotherham 015A,E01007741,0,0,0,15,0,0,10,5,75,0,0,0,5,0,0,0,10,0
Rotherham 015B,E01007742,0,0,10,25,0,0,20,0,15,0,0,0,0,50,10,50,0,0
Rotherham 015C,E01007743,0,0,10,10,0,0,10,0,0,0,0,0,5,0,0,0,0,30
Rotherham 015D,E01007744,0,0,20,10,0,0,10,0,50,0,0,0,5,10,150,200,125,10
Rotherham 015E,E01007745,0,0,0,15,0,0,0,0,20,0,0,0,0,0,0,200,0,0
Rotherham 015F,E01007746,0,0,0,5,0,0,10,0,0,0,0,0,0,30,0,50,0,0
Rotherham 016A,E01007715,30,0,75,50,40,30,20,10,5,0,0,0,150,50,0,50,1000,10
Rotherham 016B,E01007716,0,150,200,150,75,125,75,50,30,10,0,0,0,175,20,30,35,30
Rotherham 016C,E01007717,0,0,0,10,0,0,20,5,10,0,0,0,0,0,0,50,40,0
Rotherham 016D,E01007718,20,30,1000,150,35,250,25,150,30,10,0,0,250,35,0,10,0,10
Rotherham 017A,E01007677,0,0,15,50,40,0,15,0,30,0,0,10,125,75,10,0,400,50
Rotherham 017B,E01007714,0,15,1250,600,100,350,900,450,500,75,400,100,500,700,3000,500,1000,800
Rotherham 017C,E01007767,0,0,10,5,0,0,10,0,5,30,0,0,20,10,20,0,300,5
Rotherham 017D,E01007769,0,0,0,0,10,10,25,0,0,0,0,0,0,0,0,0,25,10
Rotherham 018A,E01007685,0,150,900,225,125,400,125,400,300,250,10,45,75,175,30,175,200,50
Rotherham 018B,E01007754,0,0,0,15,0,0,0,0,0,0,0,0,5,20,30,150,30,0
Rotherham 018C,E01007755,0,0,0,10,0,0,0,0,0,0,0,0,5,5,0,0,0,0
Rotherham 018D,E01007756,0,0,0,25,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Rotherham 018E,E01007761,0,0,20,20,20,20,25,150,0,0,10,0,30,10,200,50,75,10
Rotherham 018F,E01007762,0,0,0,40,0,40,25,0,25,0,0,0,10,20,50,300,175,100
Rotherham 019A,E01007682,0,0,0,5,0,0,0,0,10,0,0,0,0,15,0,0,0,0
Rotherham 019B,E01007683,0,0,10,30,0,0,15,0,0,0,0,0,0,0,0,100,0,0
Rotherham 019C,E01007686,0,0,10,0,0,10,100,10,150,30,20,20,50,30,0,10,50,25
Rotherham 019D,E01007688,0,0,10,50,0,0,10,0,50,0,0,10,35,20,0,0,10,30
Rotherham 019E,E01007725,0,0,0,20,0,0,20,0,10,0,0,0,10,20,0,0,50,0
Rotherham 019F,E01007726,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,50,20,0
Rotherham 020A,E01007757,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,20,0
Rotherham 020B,E01007758,0,0,0,20,0,0,0,0,15,0,0,0,0,40,0,100,0,0
